Enkät,Enkätkategori,Enkätkategori.1,Kursens ämnesinnehåll har gett mig möjlighet att uppnå kursens lärandemål.,"Kursens olika undervisnings- och arbetsformer har varit relevanta i relation till kursens lärandemål. Till undervisnings- och arbetsformer räknas till exempel föreläsningar, seminarier, laborationer, basgrupper, handledning, projekt och lektioner.",Kursens examinerande moment har varit relevanta i relation till kursens lärandemål.,Kursens pedagogiska genomförande har varit till stöd för mitt lärande.,"Anser du att kursens innehåll, genomförande och examination stämmer med kursplanen?",Vilket helhetsbetyg ger du kursen?,course_code
1900-talets filosofi (705G08 2020-03-23 Lin 928839),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,705G08
1900-talets filosofi (705G08 2020-10-19 Lin 933433),2020,HT,5.0,4.0,5.0,5.0,5.0,5.0,705G08
3-D Datorgrafik (Samläsning) (TNM061 2020-06-01 Nor 1087636),2020,VT,4.4,3.94,4.44,3.33,4.36,4.06,TNM061
3D Grafik (TNGD32 2020-10-26 Nor 989647),2020,HT,2.32,2.0,3.71,1.44,2.35,1.96,TNGD32
Academic English Basic Course (711G39 2020-06-01 Lin 928782),2020,VT,4.0,3.8,4.2,3.2,3.4,3.4,711G39
Academic English Basic Course (711G39 2020-06-01 Lin 928784),2020,VT,5.0,4.0,5.0,4.0,5.0,4.0,711G39
Academic English Basic Course (711G39 2021-01-18 Lin 1266933),2020,HT,3.67,3.44,4.44,3.56,3.67,3.78,711G39
Academic English Basic Course (711G39 2021-01-18 Lin 1266934),2020,HT,3.0,2.0,4.0,3.0,2.0,2.0,711G39
"Academic English for Exchange Students, foundation course (711G21 2020-06-01 Lin 928211)",2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,711G21
"Academic English for Exchange Students, foundation course (711G21 2021-01-18 Lin 932160)",2020,HT,4.0,3.0,4.0,2.5,4.5,3.0,711G21
Academic Writing with Specialized Theory and Method (711G41 2020-06-01 Lin 1090514),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,711G41
"Additive Manufacturing: Tools, Materials and Methods (Co-learning) (TFYA88 2020-10-26 Lin 1087833)",2020,HT,4.67,4.67,4.33,4.33,4.67,4.33,TFYA88
Adult learning: Perspectives and Contexts (945A02 2020-12-07 Ort 942094),2020,HT,4.1,4.0,4.4,3.6,4.2,4.1,945A02
Advanced Academic Studies (732A60 2020-10-26 Lin 1269644),2020,HT,3.0,3.17,4.0,3.5,4.6,3.5,732A60
Advanced Academic Studies (732A60 2020-10-26 Lin 1269976),2020,HT,4.37,4.11,4.53,4.05,4.61,4.0,732A60
Advanced Bioinformatics (Co-learning) (TFTB46 2020-10-26 Lin 1087852),2020,HT,3.87,3.65,4.0,2.94,3.75,3.35,TFTB46
Advanced Cognitive Psychology (735A12 2020-09-14 Lin 931123),2020,HT,4.67,4.67,5.0,4.67,5.0,4.33,735A12
